
2025/06/11 (16:57:55) | ===> btop++ v.1.4.0
2025/06/11 (16:57:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/06/11 (19:43:36) | ===> btop++ v.1.4.0
2025/06/11 (19:43:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/06/11 (19:45:32) | ===> btop++ v.1.4.0
2025/06/11 (19:45:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/06/11 (21:44:26) | ===> btop++ v.1.4.0
2025/06/11 (21:44:26) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2025/06/11 (21:44:44) | ===> btop++ v.1.4.0
2025/06/11 (21:44:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/06/11 (21:44:54) | ===> btop++ v.1.4.0
2025/06/11 (21:44:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/06/11 (22:00:58) | ===> btop++ v.1.4.0
2025/06/11 (22:00:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/06/12 (17:38:27) | ===> btop++ v.1.4.0
2025/06/12 (17:38:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/06/12 (18:13:42) | ===> btop++ v.1.4.0
2025/06/12 (18:13:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/06/12 (19:12:14) | ===> btop++ v.1.4.0
2025/06/12 (19:12:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/06/14 (18:00:26) | ===> btop++ v.1.4.0
2025/06/14 (18:00:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/06/14 (18:40:20) | ===> btop++ v.1.4.0
2025/06/14 (18:40:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/06/14 (18:55:49) | ===> btop++ v.1.4.0
2025/06/14 (18:55:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/06/14 (18:59:35) | ===> btop++ v.1.4.0
2025/06/14 (18:59:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/06/14 (19:21:45) | ===> btop++ v.1.4.0
2025/06/14 (19:21:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/06/14 (20:21:17) | ===> btop++ v.1.4.0
2025/06/14 (20:21:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/06/14 (20:21:21) | ===> btop++ v.1.4.0
2025/06/14 (20:21:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/06/14 (20:25:32) | ===> btop++ v.1.4.0
2025/06/14 (20:25:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/06/16 (14:05:38) | ===> btop++ v.1.4.0
2025/06/16 (14:05:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/06/24 (18:31:50) | ===> btop++ v.1.4.0
2025/06/24 (18:31:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/06/25 (19:49:50) | ===> btop++ v.1.4.0
2025/06/25 (19:49:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
